S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
CONTIG	NODE_1_length_3315_cov_891.320481	3315	unaligned
CONTIG	NODE_2_length_2804_cov_1294.005126	2804	unaligned
CONTIG	NODE_3_length_2581_cov_1060.413477	2581	unaligned
CONTIG	NODE_4_length_2376_cov_1135.589666	2376	unaligned
CONTIG	NODE_5_length_1556_cov_771.615644	1556	unaligned
CONTIG	NODE_6_length_1190_cov_626.722471	1190	unaligned
CONTIG	NODE_7_length_1139_cov_2225.668856	1139	unaligned
CONTIG	NODE_8_length_1099_cov_2001.830409	1099	unaligned
CONTIG	NODE_9_length_1080_cov_1180.682224	1080	unaligned
19812	20704	893	1	MK962810.1	NODE_10_length_893_cov_2.045122	100.0		True
CONTIG	NODE_10_length_893_cov_2.045122	893	correct
CONTIG	NODE_11_length_718_cov_895.389147	718	unaligned
28352	29068	1	717	MK962810.1	NODE_12_length_717_cov_1.762422	99.72		True
CONTIG	NODE_12_length_717_cov_1.762422	717	correct
23697	24412	716	1	MK962810.1	NODE_13_length_716_cov_2.223950	100.0		True
CONTIG	NODE_13_length_716_cov_2.223950	716	correct
3607	4276	1	670	MK962810.1	NODE_14_length_670_cov_2.701843	99.85		True
CONTIG	NODE_14_length_670_cov_2.701843	670	correct
29399	30047	1	661	MK962810.1	NODE_15_length_661_cov_3.051020	98.03		True
CONTIG	NODE_15_length_661_cov_3.051020	661	correct
CONTIG	NODE_16_length_645_cov_110.641608	645	unaligned
14858	15457	1	600	MK962810.1	NODE_17_length_600_cov_1.466793	99.33		True
CONTIG	NODE_17_length_600_cov_1.466793	600	correct
31939	32529	591	1	MK962810.1	NODE_18_length_591_cov_1.449807	99.66		True
CONTIG	NODE_18_length_591_cov_1.449807	591	correct
8974	9553	580	1	MK962810.1	NODE_19_length_580_cov_1.899408	100.0		True
CONTIG	NODE_19_length_580_cov_1.899408	580	correct
33522	34064	572	28	MK962810.1	NODE_20_length_572_cov_4.929860	99.63		True
CONTIG	NODE_20_length_572_cov_4.929860	572	correct
30363	30901	539	1	MK962810.1	NODE_21_length_539_cov_1.165236	99.81		True
CONTIG	NODE_21_length_539_cov_1.165236	539	correct
746	1281	538	1	MK962810.1	NODE_22_length_538_cov_2.156989	99.63		True
CONTIG	NODE_22_length_538_cov_2.156989	538	correct
